Device : CargoWatch
Truck/Trailer ID: 1110SP
Serial Number: 002131510350T2
Unit Serial Number: 0000005001175486
Software Version: 6512
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Setpoint Temperature 2,Logger Sensor 2,Op Mode Zone-2,Logger Sensor 3,Logger Sensor 4,Op Mode,
4/18/2011 21:40,	10,	10.1,	Heat,	3,	9.8,	Off,	10.2,	10.3,"Diesel, Continuous"
4/18/2011 21:55,	10,	10.2,	Heat,	3,	10.1,	Off,	10.1,	10.3,"Diesel, Continuous"
4/18/2011 22:10,	10,	10.2,	Heat,	3,	10.1,	Off,	10.2,	10.3,"Diesel, Continuous"
4/18/2011 22:25,	10,	10.2,	Heat,	3,	10.1,	Off,	10.2,	10.2,"Diesel, Continuous"
4/18/2011 22:40,	10,	10.2,	Heat,	3,	10.1,	Off,	10.2,	10.2,"Diesel, Continuous"
4/18/2011 22:55,	10,	10.2,	Heat,	3,	10.2,	Off,	10.2,	10.2,"Diesel, Continuous"
4/18/2011 23:10,	10,	10.2,	Heat,	3,	10,	Off,	10.2,	10.1,"Diesel, Continuous"
4/18/2011 23:25,	10,	10.1,	Heat,	3,	10,	Off,	10.2,	10.1,"Diesel, Continuous"
4/18/2011 23:40,	10,	10.1,	Heat,	3,	10,	Off,	10.2,	10.1,"Diesel, Continuous"
4/18/2011 23:55,	10,	10.1,	Heat,	3,	9.9,	Off,	10.2,	10,"Diesel, Continuous"
4/19/2011 00:00,	Setpoint Temperature: 10.0
4/19/2011 00:00,	Setpoint Temperature 2: 3.0
4/19/2011 00:10,	10,	9.6,	Heat,	3,	9.1,	Off,	10.1,	9.9,"Diesel, Continuous"
4/19/2011 00:25,	10,	9.9,	Heat,	3,	9.8,	Off,	10.1,	9.9,"Diesel, Continuous"
4/19/2011 00:40,	10,	10,	Heat,	3,	10,	Off,	10.1,	9.9,"Diesel, Continuous"
4/19/2011 00:55,	10,	10.1,	Heat,	3,	10,	Off,	10.1,	10,"Diesel, Continuous"
4/19/2011 01:10,	10,	10,	Heat,	3,	10,	Off,	10.1,	10,"Diesel, Continuous"
4/19/2011 01:25,	10,	10,	Heat,	3,	9.9,	Off,	10.1,	9.9,"Diesel, Continuous"
4/19/2011 01:40,	10,	9.9,	Heat,	3,	9.8,	Off,	10,	9.9,"Diesel, Continuous"
4/19/2011 01:55,	10,	9.8,	Heat,	3,	9.7,	Off,	10,	9.9,"Diesel, Continuous"
4/19/2011 02:10,	10,	9.7,	Heat,	3,	9.5,	Off,	10,	9.8,"Diesel, Continuous"
4/19/2011 02:25,	10,	9.9,	Heat,	3,	9.6,	Off,	9.9,	9.8,"Diesel, Continuous"
4/19/2011 02:40,	10,	9.8,	Heat,	3,	10.5,	Off,	9.9,	9.8,"Diesel, Continuous"
4/19/2011 02:55,	10,	9.7,	Heat,	3,	9.4,	Off,	9.9,	9.9,"Diesel, Continuous"
4/19/2011 03:10,	10,	9.2,	Heat,	3,	8.9,	Off,	9.9,	9.7,"Diesel, Continuous"
4/19/2011 03:25,	10,	9.7,	Heat,	3,	9.3,	Off,	9.9,	10,"Diesel, Continuous"
4/19/2011 03:40,	10,	10,	Cool,	3,	11.2,	Off,	9.9,	9.9,"Diesel, Continuous"
4/19/2011 03:55,	10,	10.1,	Cool,	3,	10.5,	Off,	9.9,	10,"Diesel, Continuous"
4/19/2011 04:10,	10,	10,	Cool,	3,	11.1,	Off,	9.9,	10,"Diesel, Continuous"
4/19/2011 04:25,	10,	9.4,	Heat,	3,	9,	Off,	9.8,	9.7,"Diesel, Continuous"
4/19/2011 04:40,	10,	9.5,	Heat,	3,	9.4,	Off,	9.7,	9.2,"Diesel, Continuous"
4/19/2011 04:55,	10,	9.8,	Cool,	3,	9.4,	Off,	9.5,	9.5,"Diesel, Continuous"
4/19/2011 05:10,	10,	9.8,	Heat,	3,	10.3,	Off,	9.3,	9.3,"Diesel, Continuous"
4/19/2011 05:25,	10,	9.2,	Heat,	3,	11,	Off,	9.2,	9.5,"Diesel, Continuous"
4/19/2011 05:40,	10,	9.9,	Heat,	3,	10.2,	Off,	9.2,	9.4,"Diesel, Continuous"
4/19/2011 05:53,	Power down
4/20/2011 11:43,	Spare Digital Input 1: 1.0
4/20/2011 11:43,	Power up
4/20/2011 11:43,	10,	17.3,	,	3,	18.7,	,	17.2,	18.6
4/20/2011 11:43,	Setpoint Temperature: 10.0
4/20/2011 11:43,	Door Switch Feedback: CLOSE
4/20/2011 11:43,	Setpoint Temperature 2: 3.0
4/20/2011 11:43,	Door Switch Feedback 2: CLOSE
4/20/2011 11:44,	Power down
4/20/2011 18:13,	Spare Digital Input 1: 1.0
4/20/2011 18:13,	Power up
4/20/2011 18:13,	10,	17.3,	,	3,	17.8,	,	18.8,	19.1
4/20/2011 18:13,	Setpoint Temperature: 10.0
4/20/2011 18:13,	Door Switch Feedback: CLOSE
4/20/2011 18:13,	Setpoint Temperature 2: 3.0
4/20/2011 18:13,	Door Switch Feedback 2: CLOSE
4/20/2011 18:13,	Setpoint Temperature: 3.0
4/20/2011 18:28,	3,	6.7,	High Cool,	3,	10.4,	Off,	16.1,	14.7,"Diesel, Continuous"
4/20/2011 18:32,	Power down
4/20/2011 19:05,	Spare Digital Input 1: 1.0
4/20/2011 19:05,	Power up
4/20/2011 19:05,	3,	5.8,	,	3,	10.3,	,	12.5,	11.3
4/20/2011 19:05,	Setpoint Temperature: 3.0
4/20/2011 19:06,	Door Switch Feedback: CLOSE
4/20/2011 19:06,	Setpoint Temperature 2: 3.0
4/20/2011 19:06,	Door Switch Feedback 2: CLOSE
4/20/2011 19:20,	3,	4.3,	High Cool,	3,	-3.2,	Off,	10.8,	9,"Diesel, Continuous"
4/20/2011 19:35,	3,	3.8,	Cool,	3,	-3.1,	Off,	10.3,	9.3,"Diesel, Continuous"
4/20/2011 19:50,	3,	3.3,	Heat,	3,	-3.4,	Off,	9.7,	8.7,"Diesel, Continuous"
4/20/2011 20:05,	3,	4.1,	Cool,	3,	1.4,	Off,	9.3,	8.6,"Diesel, Continuous"
4/20/2011 20:20,	3,	3.3,	Heat,	3,	0.7,	Off,	8.9,	8.2,"Diesel, Continuous"
4/20/2011 20:35,	3,	3.2,	Cool,	3,	-1.2,	Off,	8.6,	7.8,"Diesel, Continuous"
4/20/2011 20:50,	3,	3.8,	Heat,	3,	1,	Off,	8.5,	7.8,"Diesel, Continuous"
4/20/2011 21:05,	3,	3.3,	Cool,	3,	-0.1,	Off,	8.1,	7.1,"Diesel, Continuous"
4/20/2011 21:20,	3,	2.8,	Heat,	3,	0.3,	Off,	7.5,	6.5,"Diesel, Continuous"
4/20/2011 21:35,	3,	3.2,	Heat,	3,	1.5,	Off,	7,	6.1,"Diesel, Continuous"
4/20/2011 21:50,	3,	3.6,	Heat,	3,	2.4,	Off,	6.7,	5.9,"Diesel, Continuous"
4/20/2011 22:05,	3,	3.8,	Heat,	3,	3.1,	Off,	6.5,	5.7,"Diesel, Continuous"
4/20/2011 22:20,	3,	3.9,	Cool,	3,	3.2,	Off,	6.2,	5.5,"Diesel, Continuous"
4/20/2011 22:35,	3,	3.9,	Cool,	3,	3.2,	Off,	6,	5.3,"Diesel, Continuous"
4/20/2011 22:50,	3,	3.8,	Heat,	3,	2.9,	Off,	5.8,	5.2,"Diesel, Continuous"
4/20/2011 23:05,	3,	3.6,	Heat,	3,	2.6,	Off,	5.7,	5.1,"Diesel, Continuous"
4/20/2011 23:20,	3,	3.3,	Heat,	3,	1.8,	Off,	5.5,	4.9,"Diesel, Continuous"
4/20/2011 23:35,	3,	2.8,	Heat,	3,	0.9,	Off,	5.3,	4.9,"Diesel, Continuous"
4/20/2011 23:50,	3,	2.5,	Heat,	3,	-0.1,	Off,	5.3,	4.8,"Diesel, Continuous"
4/21/2011 00:00,	Setpoint Temperature: 3.0
4/21/2011 00:00,	Setpoint Temperature 2: 3.0
4/21/2011 00:05,	3,	3.6,	Cool,	3,	1.6,	Off,	5.2,	4.8,"Diesel, Continuous"
4/21/2011 00:20,	3,	3.8,	Heat,	3,	3,	Off,	5,	4.8,"Diesel, Continuous"
4/21/2011 00:35,	3,	3.6,	Heat,	3,	2.6,	Off,	5,	4.8,"Diesel, Continuous"
4/21/2011 00:50,	3,	3.2,	Heat,	3,	1.8,	Off,	4.9,	4.7,"Diesel, Continuous"
4/21/2011 01:05,	3,	2.7,	Heat,	3,	0.7,	Off,	4.8,	4.7,"Diesel, Continuous"
4/21/2011 01:20,	3,	3.8,	Heat,	3,	2.9,	Off,	4.8,	4.8,"Diesel, Continuous"
4/21/2011 01:35,	3,	3.2,	Heat,	3,	1.8,	Off,	4.7,	4.7,"Diesel, Continuous"
4/21/2011 01:50,	3,	3.9,	Heat,	3,	3,	Off,	4.7,	4.8,"Diesel, Continuous"
4/21/2011 02:05,	3,	3.2,	Heat,	3,	2,	Off,	4.6,	4.7,"Diesel, Continuous"
4/21/2011 02:20,	3,	3.8,	Heat,	3,	2.8,	Off,	4.6,	4.7,"Diesel, Continuous"
4/21/2011 02:35,	3,	3.8,	Heat,	3,	2.9,	Off,	4.6,	4.8,"Diesel, Continuous"
4/21/2011 02:50,	3,	3.9,	Heat,	3,	3,	Off,	4.6,	4.8,"Diesel, Continuous"
4/21/2011 03:05,	3,	3.5,	Heat,	3,	1.7,	Off,	4.6,	4.7,"Diesel, Continuous"
4/21/2011 03:20,	3,	3.7,	Heat,	3,	2.8,	Off,	4.5,	4.6,"Diesel, Continuous"
4/21/2011 03:35,	3,	3.6,	Heat,	3,	2.4,	Off,	4.5,	4.6,"Diesel, Continuous"
4/21/2011 03:50,	3,	3.7,	Heat,	3,	2.6,	Off,	4.5,	4.6,"Diesel, Continuous"
4/21/2011 04:05,	3,	3.6,	Cool,	3,	1.3,	Off,	4.5,	4.6,"Diesel, Continuous"
4/21/2011 04:20,	3,	3.6,	Heat,	3,	2.4,	Off,	4.4,	4.4,"Diesel, Continuous"
4/21/2011 04:35,	3,	2.8,	Heat,	3,	0.5,	Off,	4.4,	4.2,"Diesel, Continuous"
4/21/2011 04:50,	3,	3.7,	Cool,	3,	1.5,	Off,	4.4,	4.4,"Diesel, Continuous"
4/21/2011 05:05,	3,	3.2,	Heat,	3,	1.6,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 05:20,	3,	3.6,	Heat,	3,	2.7,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 05:35,	3,	2.9,	Heat,	3,	1,	Off,	4.3,	4.3,"Diesel, Continuous"
4/21/2011 05:50,	3,	3.6,	Heat,	3,	2.4,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 06:05,	3,	3.6,	Heat,	3,	2.2,	Off,	4.3,	4.5,"Diesel, Continuous"
4/21/2011 06:20,	3,	3.5,	Heat,	3,	2.1,	Off,	4.3,	4.5,"Diesel, Continuous"
4/21/2011 06:35,	3,	3.8,	Heat,	3,	2.8,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 06:50,	3,	3,	Heat,	3,	1.6,	Off,	4.2,	4.2,"Diesel, Continuous"
4/21/2011 07:05,	3,	3.1,	Heat,	3,	1.6,	Off,	4.2,	4.2,"Diesel, Continuous"
4/21/2011 07:20,	3,	3.8,	Heat,	3,	2.9,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 07:35,	3,	3.1,	Heat,	3,	1.3,	Off,	4.3,	4.4,"Diesel, Continuous"
4/21/2011 07:50,	3,	3.4,	Cool,	3,	0.7,	Off,	4.4,	4.6,"Diesel, Continuous"
4/21/2011 08:05,	3,	3,	Heat,	3,	-0.6,	Off,	4.4,	4.5,"Diesel, Continuous"
4/21/2011 08:20,	3,	2.7,	Heat,	3,	-1.3,	Off,	4.5,	4.6,"Diesel, Continuous"
4/21/2011 08:35,	3,	2.7,	Heat,	3,	-0.3,	Off,	4.6,	4.6,"Diesel, Continuous"
4/21/2011 08:50,	3,	3.2,	Heat,	3,	2,	Off,	4.6,	4.7,"Diesel, Continuous"
4/21/2011 09:05,	3,	3.7,	Heat,	3,	3.8,	Off,	4.6,	4.8,"Diesel, Continuous"
4/21/2011 09:20,	3,	4,	Cool,	3,	3.5,	Off,	4.7,	5,"Diesel, Continuous"
4/21/2011 09:35,	3,	2.9,	Cool,	3,	-1,	Off,	4.9,	5.2,"Diesel, Continuous"
4/21/2011 09:50,	3,	3,	Heat,	3,	1.7,	Off,	5,	5.3,"Diesel, Continuous"
4/21/2011 10:05,	3,	3.7,	Heat,	3,	3.9,	Off,	5.1,	5.3,"Diesel, Continuous"
4/21/2011 10:20,	3,	3.7,	Cool,	3,	1.3,	Off,	5.2,	5.8,"Diesel, Continuous"
4/21/2011 10:35,	3,	2.8,	Heat,	3,	-1.3,	Off,	5.3,	5.8,"Diesel, Continuous"
4/21/2011 10:50,	3,	3.1,	Heat,	3,	1.5,	Off,	5.5,	5.9,"Diesel, Continuous"
4/21/2011 11:05,	3,	4.1,	Cool,	3,	4.1,	Off,	5.6,	6.3,"Diesel, Continuous"
4/21/2011 11:20,	3,	3.3,	Cool,	3,	-0.1,	Off,	5.8,	6.5,"Diesel, Continuous"
4/21/2011 11:35,	3,	2.9,	Heat,	3,	0.6,	Off,	5.9,	6.6,"Diesel, Continuous"
4/21/2011 11:50,	3,	3.8,	Heat,	3,	4,	Off,	6,	6.8,"Diesel, Continuous"
4/21/2011 12:00,	Setpoint Temperature: 3.0
4/21/2011 12:00,	Setpoint Temperature 2: 3.0
4/21/2011 12:05,	3,	3.8,	Cool,	3,	1.1,	Off,	6.4,	7.8,"Diesel, Continuous"
4/21/2011 12:20,	3,	2.8,	Heat,	3,	-0.6,	Off,	8.2,	9.1,"Diesel, Continuous"
4/21/2011 12:35,	3,	3.3,	Heat,	3,	1.9,	Off,	7.3,	7.5,"Diesel, Continuous"
4/21/2011 12:50,	3,	3.7,	Heat,	3,	2.6,	Off,	6.8,	7.2,"Diesel, Continuous"
4/21/2011 13:01,	Power down
4/22/2011 12:56,	Spare Digital Input 1: 1.0
4/22/2011 12:56,	Power up
