Device : CargoWatch
Truck/Trailer ID: R4038
Serial Number: 017809314200T3
Unit Serial Number: 0000006001177969
Software Version: 75C0
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Op Mode,
3/13/2016 14:46,	Power up
3/13/2016 14:46,	,	23.2
3/13/2016 14:46,	Setpoint Temperature: -35.0
3/13/2016 14:48,	Power down
3/15/2016 09:16,	Power up
3/15/2016 09:16,	-35,	10.9
3/15/2016 09:16,	Setpoint Temperature: -35.0
3/15/2016 09:19,	Setpoint Temperature: 5.0
3/15/2016 09:26,	5,	10.1,	Mod Cool,"Diesel, Continuous"
3/15/2016 09:36,	5,	9,	Mod Cool,"Diesel, Continuous"
3/15/2016 09:46,	5,	8.1,	Mod Cool,"Diesel, Continuous"
3/15/2016 09:56,	5,	7.2,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:06,	5,	6.7,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:16,	5,	6.3,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:26,	5,	6,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:36,	5,	5.8,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:46,	5,	5.6,	Mod Cool,"Diesel, Continuous"
3/15/2016 10:56,	5,	5.5,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:06,	5,	5.3,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:16,	5,	5.2,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:26,	5,	5.2,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:36,	5,	5.2,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:46,	5,	5.2,	Mod Cool,"Diesel, Continuous"
3/15/2016 11:56,	5,	5.1,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:00,	Setpoint Temperature: 5.0
3/15/2016 12:06,	5,	5.1,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:16,	5,	5.1,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:26,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:36,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:46,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 12:56,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 13:06,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 13:16,	5,	5,	Mod Cool,"Diesel, Continuous"
3/15/2016 13:26,	5,	5,	Mod Cool,"Diesel, Continuous"
