Time,Setpoint Zone-1,Return Zone-1,Discharge Zone-1,Coil Zone-1,Op Mode Zone-1,Ambient,Setpoint Zone-2,Return Zone-2,Discharge Zone-2,Coil Zone-2,Op Mode Zone-2,Setpoint Zone-3,Return Zone-3,Discharge Zone-3,Coil Zone-3,Op Mode Zone-3,Unit Operating Mode,
7/23/2019 08:52,	Clock Set
7/23/2019 08:52,	12,	18.4,	17.9,	18.8,	Cool,	18.7,	1,	18.5,	18.3,	19,	Cool,	1,	18.5,	18.2,	17.7,	Cool,"Start, Diesel, Cycle-Sentry"
7/23/2019 08:53,	12,	18.4,	18.1,	18.8,	Cool,	18.6,	1,	18.5,	18.3,	19,	Cool,	1,	18.5,	18.2,	17.7,	Cool,"Start, Diesel, Cycle-Sentry"
7/23/2019 08:54,	12,	18.2,	16.1,	17.7,	Cool,	18.6,	1,	18.3,	17.1,	17.2,	Cool,	1,	18.1,	16.5,	15.8,	Cool,"Diesel, Cycle-Sentry"
7/23/2019 08:55,	12,	17.4,	14.2,	15.9,	Cool,	19.9,	1,	17.5,	15,	13.9,	Cool,	1,	17.1,	14.5,	12.9,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 08:56,	12,	16.1,	11.8,	13.8,	Cool,	22,	1,	16.5,	12.4,	10.3,	Cool,	1,	15.6,	11.1,	9.2,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 08:57,	12,	14.6,	9.2,	11.3,	Cool,	23.4,	1,	15.4,	10.2,	7.4,	Cool,	1,	14.1,	8.8,	6.2,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 08:58,	12,	13.2,	6.9,	8.8,	Cool,	24.2,	1,	14.2,	8.3,	5.3,	Cool,	1,	12.8,	7.3,	4,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 08:59,	Zone-1 Op Mode:  Null
7/23/2019 08:59,	12,	12,	5,	6.2,	Null,	25.1,	1,	13.1,	7,	3.8,	Cool,	1,	11.5,	6.1,	2.4,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 09:00,	12,	12.1,	4.5,	5,	Null,	25.2,	1,	12.2,	5.4,	1.5,	Cool,	1,	10.3,	3.7,	0,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 09:01,	12,	12.1,	5.2,	5.9,	Null,	25.5,	1,	11.9,	4,	-0.6,	Cool,	1,	9.2,	2.4,	-2.2,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 09:02,	12,	12,	6.1,	6.8,	Null,	25,	1,	11.3,	2.8,	-2.2,	Cool,	1,	8.2,	1.6,	-3.8,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 09:03,	12,	11.8,	6.8,	7.2,	Null,	25.9,	1,	10.7,	1.8,	-3.3,	Cool,	1,	7.4,	0.8,	-5.1,	Cool,"Diesel, Cycle-Sentry, High Speed"
7/23/2019 09:04,	12,	10.6,	7.4,	7.7,	Null,	24.7,	1,	10.5,	0.8,	-4.3,	Cool,	1,	6.6,	0.1,	-6,	Cool,"Diesel, Cycle-Sentry, High Speed"
