Time,Setpoint Zone-1,Return Zone-1,Discharge Zone-1,Coil Zone-1,Op Mode Zone-1,Ambient,Spare-1,Setpoint Zone-2,Return Zone-2,Discharge Zone-2,Coil Zone-2,Spare-2,Op Mode Zone-2,Spare-3,Unit Operating Mode,
6/15/2011 23:48,	-1,	2.7,	-2.8,	-4.4,	Cool,	18.2,	-----,	1,	10.9,	9.9,	10.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/15/2011 23:53,	-1,	2.6,	-2.8,	-5.2,	Cool,	18.5,	-----,	1,	11,	10,	11.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/15/2011 23:58,	-1,	2.6,	-3,	-5.5,	Cool,	18.1,	-----,	1,	11.2,	10.1,	11.5,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:00,	Clock Set
6/16/2011 00:00,	-1,	2.7,	-2.9,	-5.6,	Cool,	18,	-----,	1,	11.3,	10.1,	11.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:05,	-1,	3.3,	-0.5,	-6.9,	Cool,	18.2,	-----,	1,	11,	10.3,	11.9,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:10,	-1,	3.5,	0.5,	-10.1,	Cool,	17.9,	-----,	1,	10.5,	10.1,	11.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:15,	-1,	4.7,	1.8,	-11.4,	Cool,	17.6,	-----,	1,	10.5,	10.2,	11.9,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:20,	-1,	5.1,	2.1,	-12.6,	Cool,	17.8,	-----,	1,	10.7,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:21,	Variable Differential Defrost Entered Zone 1
6/16/2011 00:21,	Zone-1 Op Mode:  Defrost
6/16/2011 00:21,	-1,	5.2,	2.3,	-13.2,	Defrost,	17.6,	-----,	1,	10.8,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 00:26,	-1,	6.7,	3.1,	0.4,	Defrost,	16.6,	-----,	1,	11.1,	10.8,	12.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 00:31,	-1,	6.3,	6.6,	2.6,	Defrost,	16.4,	-----,	1,	11.4,	11,	12.5,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 00:36,	Zone-1 Op Mode:  Defrost
