Device : ServiceWatch
Truck/Trailer ID: ee700187
Serial Number: A06935012373T1
Unit Serial Number: 0000006001127950
Software Version: D030
Temperature: °C
Pressure: Bar

Time,Setpoint,Return Control,Discharge Control,Coil,Ambient,Spare-1,Op Mode,Fuel Level,
4/18/2013 19:45,	-23.3,	-20.2,	-20.8,	-21.6,	3.6,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 19:51,	-23.3,	-23.4,	-29.4,	-27.1,	7.1,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 20:06,	-23.3,	-21.2,	-22.7,	-23.8,	3.4,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 20:10,	-23.3,	-20.6,	-21.3,	-22.8,	3.5,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 20:11,	-23.3,	-20.3,	-21.2,	-22.2,	3.6,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 20:17,	-23.3,	-23.4,	-29.3,	-26.5,	7.6,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 20:32,	-23.3,	-20.8,	-22.7,	-24.2,	6.5,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 20:34,	-23.3,	-20.5,	-21.8,	-23.8,	6.9,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 20:35,	-23.3,	-18.9,	-21.2,	-22.5,	5.7,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 20:35,	-23.3,	-18.1,	-21,	-21.9,	5.7,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/18/2013 20:50,	-23.3,	-11.1,	-19.9,	-17.5,	7.9,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/18/2013 21:05,	-23.3,	-7.3,	-18.1,	-15.8,	7.9,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/18/2013 21:08,	Variable Differential Defrost Entered 
4/18/2013 21:08,	-23.3,	-7.2,	-18.4,	-16.2,	7.9,	-----,"Diesel, Cycle-Sentry, Defrost",	35
4/18/2013 21:19,	Defrost State Exited 
4/18/2013 21:19,	-23.3,	-3.9,	21.1,	19.3,	4.9,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/18/2013 21:34,	-23.3,	-11.2,	-19.8,	-17.2,	4.2,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/18/2013 21:48,	-23.3,	-21.4,	-26.8,	-25.1,	8.5,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 22:02,	-23.3,	-23.4,	-29.7,	-27,	7.2,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 22:16,	-23.3,	-20.6,	-23.6,	-24,	8.6,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 22:16,	-23.3,	-20.2,	-23.1,	-23.2,	9.2,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 22:29,	-23.3,	-23.4,	-29.7,	-27.1,	10.2,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 22:42,	-23.3,	-20.6,	-23.4,	-23.5,	7.8,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 22:43,	-23.3,	-20.2,	-22.9,	-22.8,	7,	-----,"Diesel, Cycle-Sentry, Cool",	35
