Device : CargoWatch
Truck/Trailer ID: R4038
Serial Number: 017809314200T3
Unit Serial Number: 0000006001177969
Software Version: 75C0
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Op Mode,
6/15/2016 04:42,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 04:52,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:02,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:12,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:22,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:32,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:42,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 05:52,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:02,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:12,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:22,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:32,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:42,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 06:52,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 07:02,	5,	5,	Mod Cool,"Diesel, Continuous"
6/15/2016 07:12,	5,	5.3,	Mod Cool,"Diesel, Continuous"
6/15/2016 07:22,	5,	5.9,	High Mod Cool,"Diesel, Continuous"
6/15/2016 07:23,	Timed Defrost Entered 
6/15/2016 07:23,	5,	6,	High Mod Cool,"Diesel, Continuous"
6/15/2016 07:25,	Defrost State Exited 
6/15/2016 07:25,	5,	6.1,	Defrost,"Diesel, Continuous"
6/15/2016 07:32,	Power down
6/15/2016 10:49,	Power up
6/15/2016 10:49,	5,	16.2
6/15/2016 10:49,	Setpoint Temperature: 5.0
6/15/2016 10:50,	Setpoint Temperature: -23.0
6/15/2016 10:59,	-23,	15.7,	High Cool,"Diesel, Continuous"
6/15/2016 11:09,	-23,	13.8,	High Cool,"Diesel, Continuous"
6/15/2016 11:19,	-23,	10.5,	High Cool,"Diesel, Continuous"
